company,ticker,depends_on,dependency_type,supplier_name,supplier_listed,supplier_ticker,country,tier,confidence,source,date_added
Tuopu Group,601689.SH,Planetary roller screws,component,SKF,Y,SKFB.ST,SE,1,REPORTED,"[TG-C1] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || Trade press (secondary)",2026-08-04
Tuopu Group,601689.SH,Planetary roller screws,component,Non-listed Swiss,N,,Switzerland,1,REPORTED,"[TG-C1] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || Trade press (secondary)",2026-08-04
Tuopu Group,601689.SH,Planetary roller screws,component,Swedish specialists,N,,Switzerland,1,REPORTED,"[TG-C1] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || Trade press (secondary)",2026-08-04
UBTECH Robotics,9880.HK,Planetary roller screws,component,SKF,Y,SKFB.ST,SE,2,REPORTED,"[UR-C4] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || PW Consulting and IntelMarketResearch planetary-roller-screw reports 2026; openPR release on inverted PRS for humanoids, 31 Jul 2026. All aggregator quality. CR",2026-08-04
UBTECH Robotics,9880.HK,Planetary roller screws,component,Rollvis,,,CH,2,REPORTED,"[UR-C4] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || PW Consulting and IntelMarketResearch planetary-roller-screw reports 2026; openPR release on inverted PRS for humanoids, 31 Jul 2026. All aggregator quality. CR",2026-08-04
UBTECH Robotics,9880.HK,Planetary roller screws,component,Ewellix,,,SE,2,REPORTED,"[UR-C4] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || PW Consulting and IntelMarketResearch planetary-roller-screw reports 2026; openPR release on inverted PRS for humanoids, 31 Jul 2026. All aggregator quality. CR",2026-08-04
UBTECH Robotics,9880.HK,Planetary roller screws,component,GSA,,,CH,2,REPORTED,"[UR-C4] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || PW Consulting and IntelMarketResearch planetary-roller-screw reports 2026; openPR release on inverted PRS for humanoids, 31 Jul 2026. All aggregator quality. CR",2026-08-04
UBTECH Robotics,9880.HK,Planetary roller screws,component,Creative Motion Control,,,Switzerland,2,REPORTED,"[UR-C4] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || PW Consulting and IntelMarketResearch planetary-roller-screw reports 2026; openPR release on inverted PRS for humanoids, 31 Jul 2026. All aggregator quality. CR",2026-08-04
UBTECH Robotics,9880.HK,Planetary roller screws,component,Moog,Y,MOG.A,US,2,REPORTED,"[UR-C4] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || PW Consulting and IntelMarketResearch planetary-roller-screw reports 2026; openPR release on inverted PRS for humanoids, 31 Jul 2026. All aggregator quality. CR",2026-08-04
UBTECH Robotics,9880.HK,Planetary roller screws,component,Bosch Rexroth,,,DE,2,REPORTED,"[UR-C4] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || PW Consulting and IntelMarketResearch planetary-roller-screw reports 2026; openPR release on inverted PRS for humanoids, 31 Jul 2026. All aggregator quality. CR",2026-08-04
UBTECH Robotics,9880.HK,Planetary roller screws,component,August Steinmeyer,,,Switzerland,2,REPORTED,"[UR-C4] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || PW Consulting and IntelMarketResearch planetary-roller-screw reports 2026; openPR release on inverted PRS for humanoids, 31 Jul 2026. All aggregator quality. CR",2026-08-04
UBTECH Robotics,9880.HK,Planetary roller screws,component,Power Jacks,,,Switzerland,2,REPORTED,"[UR-C4] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || PW Consulting and IntelMarketResearch planetary-roller-screw reports 2026; openPR release on inverted PRS for humanoids, 31 Jul 2026. All aggregator quality. CR",2026-08-04
UBTECH Robotics,9880.HK,Planetary roller screws,component,Nook Industries,,,US,2,REPORTED,"[UR-C4] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || PW Consulting and IntelMarketResearch planetary-roller-screw reports 2026; openPR release on inverted PRS for humanoids, 31 Jul 2026. All aggregator quality. CR",2026-08-04
UBTECH Robotics,9880.HK,Planetary roller screws,component,KGG,,,Switzerland,2,REPORTED,"[UR-C4] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || PW Consulting and IntelMarketResearch planetary-roller-screw reports 2026; openPR release on inverted PRS for humanoids, 31 Jul 2026. All aggregator quality. CR",2026-08-04
UBTECH Robotics,9880.HK,Planetary roller screws,component,domestic Chinese entrants,,,Switzerland,2,REPORTED,"[UR-C4] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || PW Consulting and IntelMarketResearch planetary-roller-screw reports 2026; openPR release on inverted PRS for humanoids, 31 Jul 2026. All aggregator quality. CR",2026-08-04
UBTECH Robotics,9880.HK,Planetary roller screws,component,Rollvis SA - NON-LISTED,N,,Switzerland,2,REPORTED,"[UR-C4] DO NOT PUBLISH - roller screw concentration figure falsified 31 Jul 2026, under reverification. See VERIFICATION_P1_findings.md. || PW Consulting and IntelMarketResearch planetary-roller-screw reports 2026; openPR release on inverted PRS for humanoids, 31 Jul 2026. All aggregator quality. CR",2026-08-04
Taiwan Semiconductor Manufacturing Co.,TSM,Zero-expansion substrate for EUV optics,material,Schott AG,,,Germany,3,INFERRED,"[TSM-C6] RESOLVED 31 Jul 2026. Zeiss SMT patents US8711332B2 and EP1664933A1 (substrate materials listed as ULE, Zerodur or Clearceram; opposite-sign CTE combination claimed) - PRIMARY. Corning ULE product literature and Corning/Hrdina EUVL Symposium paper on ULE for EUV. Prior basis was analyst inf",2026-08-04
Taiwan Semiconductor Manufacturing Co.,TSM,Zero-expansion substrate for EUV optics,material,Corning,Y,GLW,US,3,INFERRED,"[TSM-C6] RESOLVED 31 Jul 2026. Zeiss SMT patents US8711332B2 and EP1664933A1 (substrate materials listed as ULE, Zerodur or Clearceram; opposite-sign CTE combination claimed) - PRIMARY. Corning ULE product literature and Corning/Hrdina EUVL Symposium paper on ULE for EUV. Prior basis was analyst inf",2026-08-04
Taiwan Semiconductor Manufacturing Co.,TSM,Zero-expansion substrate for EUV optics,material,Ohara,Y,5218.T,JP,3,INFERRED,"[TSM-C6] RESOLVED 31 Jul 2026. Zeiss SMT patents US8711332B2 and EP1664933A1 (substrate materials listed as ULE, Zerodur or Clearceram; opposite-sign CTE combination claimed) - PRIMARY. Corning ULE product literature and Corning/Hrdina EUVL Symposium paper on ULE for EUV. Prior basis was analyst inf",2026-08-04
Taiwan Semiconductor Manufacturing Co.,TSM,Zero-expansion substrate for EUV optics,material,Schott AG - NON-LISTED,N,,Germany,3,INFERRED,"[TSM-C6] RESOLVED 31 Jul 2026. Zeiss SMT patents US8711332B2 and EP1664933A1 (substrate materials listed as ULE, Zerodur or Clearceram; opposite-sign CTE combination claimed) - PRIMARY. Corning ULE product literature and Corning/Hrdina EUVL Symposium paper on ULE for EUV. Prior basis was analyst inf",2026-08-04
Taiwan Semiconductor Manufacturing Co.,TSM,Zero-expansion substrate for EUV optics,material,Carl Zeiss Foundation. Corning is LISTED,N,,Germany,3,INFERRED,"[TSM-C6] RESOLVED 31 Jul 2026. Zeiss SMT patents US8711332B2 and EP1664933A1 (substrate materials listed as ULE, Zerodur or Clearceram; opposite-sign CTE combination claimed) - PRIMARY. Corning ULE product literature and Corning/Hrdina EUVL Symposium paper on ULE for EUV. Prior basis was analyst inf",2026-08-04
Broadcom,AVGO,ABF substrate + build-up dielectric film,material,Unimicron,Y,3037.TW,TW,2,INFERRED,"[B-C5] NEW ROW added 31 Jul 2026 at Doug's instruction. GAP identified by Thread A: Non-Listed Targets row 4 already lists Broadcom among the names Ajinomoto Fine-Techno sits behind, yet Broadcom had no substrate row - the exposure was asserted on the entity tab and absent from the chokepoint map. F",2026-08-04
Broadcom,AVGO,ABF substrate + build-up dielectric film,material,Ibiden,Y,4062.T,JP,2,INFERRED,"[B-C5] NEW ROW added 31 Jul 2026 at Doug's instruction. GAP identified by Thread A: Non-Listed Targets row 4 already lists Broadcom among the names Ajinomoto Fine-Techno sits behind, yet Broadcom had no substrate row - the exposure was asserted on the entity tab and absent from the chokepoint map. F",2026-08-04
Broadcom,AVGO,ABF substrate + build-up dielectric film,material,Shinko,Y,6967.T,JP,2,INFERRED,"[B-C5] NEW ROW added 31 Jul 2026 at Doug's instruction. GAP identified by Thread A: Non-Listed Targets row 4 already lists Broadcom among the names Ajinomoto Fine-Techno sits behind, yet Broadcom had no substrate row - the exposure was asserted on the entity tab and absent from the chokepoint map. F",2026-08-04
Broadcom,AVGO,ABF substrate + build-up dielectric film,material,AT&S,Y,ATS.VI,AT,2,INFERRED,"[B-C5] NEW ROW added 31 Jul 2026 at Doug's instruction. GAP identified by Thread A: Non-Listed Targets row 4 already lists Broadcom among the names Ajinomoto Fine-Techno sits behind, yet Broadcom had no substrate row - the exposure was asserted on the entity tab and absent from the chokepoint map. F",2026-08-04
Broadcom,AVGO,ABF substrate + build-up dielectric film,material,Nan Ya PCB,Y,8046.TW,TW,2,INFERRED,"[B-C5] NEW ROW added 31 Jul 2026 at Doug's instruction. GAP identified by Thread A: Non-Listed Targets row 4 already lists Broadcom among the names Ajinomoto Fine-Techno sits behind, yet Broadcom had no substrate row - the exposure was asserted on the entity tab and absent from the chokepoint map. F",2026-08-04
Broadcom,AVGO,ABF substrate + build-up dielectric film,material,Ajinomoto Fine-Techno,N,,JP,2,INFERRED,"[B-C5] NEW ROW added 31 Jul 2026 at Doug's instruction. GAP identified by Thread A: Non-Listed Targets row 4 already lists Broadcom among the names Ajinomoto Fine-Techno sits behind, yet Broadcom had no substrate row - the exposure was asserted on the entity tab and absent from the chokepoint map. F",2026-08-04
Broadcom,AVGO,ABF substrate + build-up dielectric film,material,>95% reported,N,,Japan,2,INFERRED,"[B-C5] NEW ROW added 31 Jul 2026 at Doug's instruction. GAP identified by Thread A: Non-Listed Targets row 4 already lists Broadcom among the names Ajinomoto Fine-Techno sits behind, yet Broadcom had no substrate row - the exposure was asserted on the entity tab and absent from the chokepoint map. F",2026-08-04
